NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
182526;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;47,59;0
182527;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;19,74;0
182528;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;6,5;0
182529;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;7,5;0
182530;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;29,5;0
182531;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;102,68;0
182532;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;38,01;0
182533;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;187,7;0
182534;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;45,83;0
182535;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;34,02;0
182536;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;20,34;0
182537;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;19,37;0
182538;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;37,9;0
182539;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;28,96;0
182540;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;77,75;0
182541;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;55,65;0
182542;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;57,65;0
182543;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;79,82;0
182544;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;75,21;0
182545;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;68,09;0
182546;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;52,45;0
182547;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;62,96;0
182548;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;7,6;0
182549;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;92,34;0
182550;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;139,47;0
182551;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;100;0
182552;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;28,88;0
182553;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;85,92;0
182554;1;65;01/04/2025;5102;CLIENTES DIVERSOS;;56,93;0
182555;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;34,21;0
182556;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;18,01;0
182557;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;17,43;0
182558;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;45,56;0
182559;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;60,98;0
182560;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;94,16;0
182561;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;55,95;0
182562;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;12,65;0
182563;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;76,96;0
182564;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;3,85;0
182565;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;22,94;0
182566;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;58,6;0
182567;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;6,04;0
182568;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;69,92;0
182569;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;15,96;0
182570;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;53,22;0
182571;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;172,2;0
182572;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;19,99;0
182573;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;45,7;0
182574;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;17,99;0
182575;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;22,95;0
182576;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;15,85;0
182577;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;332,02;0
182578;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;45,59;0
182579;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;59,62;0
182580;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;105,56;0
182581;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;99,7;0
182582;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;39,97;0
182583;1;65;02/04/2025;5102;CLIENTES DIVERSOS;;38,37;0
182584;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;17,38;0
182585;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;21,03;0
182586;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;15,5;0
182587;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;106,79;0
182588;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;13,8;0
182589;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;61,26;0
182590;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;45,4;0
182591;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;75,13;0
182592;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;16,85;0
182593;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;104,48;0
182594;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;20,79;0
182595;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;5,29;0
182596;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;73,21;0
182597;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;17,97;0
182598;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;87,31;0
182599;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;132,78;0
182600;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;150,26;0
182601;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;49,96;0
182602;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;40,96;0
182603;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;36,32;0
182604;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;248,82;0
182605;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;166,13;0
182606;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;79,03;0
182607;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;227,48;0
182608;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;87,16;0
182609;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;23,63;0
182610;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;79,38;0
182611;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;41,04;0
182612;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;43,99;0
182613;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;191,66;0
182614;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;15,98;0
182615;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;51,97;0
182616;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;59,27;0
182617;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;93,42;0
182618;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;44,24;0
182619;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;106,61;0
182620;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;93,96;0
182621;1;65;03/04/2025;5102;CLIENTES DIVERSOS;;2.438,00;0
182622;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;14,75;0
182623;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;39,99;0
182624;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;41,48;0
182625;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;34,79;0
182626;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;65,24;0
182627;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;26,94;0
182628;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;134,59;0
182629;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;31,07;0
182630;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;58,26;0
182631;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;5,46;0
182632;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;14,2;0
182633;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;17,1;0
182634;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;96,08;0
182635;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;111,86;0
182636;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;50,97;0
182637;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;142,39;0
182638;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;27,69;0
182639;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;43,9;0
182640;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;124,35;0
182641;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;130;0
182642;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;28,19;0
182643;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;44,43;0
182644;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;82,78;0
182645;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;43,96;0
182646;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;63,1;0
182647;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;39,3;0
182648;1;65;04/04/2025;5102;CLIENTES DIVERSOS;;130,09;0
182649;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;15,5;0
182650;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;81,4;0
182651;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;18,55;0
182652;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;9,77;0
182653;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;75,82;0
182654;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;69,47;0
182655;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;20,99;0
182656;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;10,99;0
182657;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;109,22;0
182658;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;87,4;0
182659;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;53,97;0
182660;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;7,5;0
182661;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;30,14;0
182662;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;19,99;0
182663;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;57,39;0
182664;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;75,4;0
182665;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;91,59;0
182666;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;69,68;0
182667;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;123,07;0
182668;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;195,92;0
182669;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;47,94;0
182670;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;69,72;0
182671;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;20;0
182672;1;65;05/04/2025;5102;CLIENTES DIVERSOS;;46,76;0
182673;1;65;06/04/2025;5102;CLIENTES DIVERSOS;;59,8;0
182674;1;65;06/04/2025;5102;CLIENTES DIVERSOS;;63,16;0
182675;1;65;06/04/2025;5102;CLIENTES DIVERSOS;;236,3;0
182676;1;65;06/04/2025;5102;CLIENTES DIVERSOS;;215,88;0
182677;1;65;06/04/2025;5102;CLIENTES DIVERSOS;;102,33;0
