NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
185897;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;28,55;0
185898;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;31,99;0
185899;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;106,44;0
185900;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;120,28;0
185901;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;37,75;0
185902;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;8,75;0
185903;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;168,11;0
185904;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;8,94;0
185905;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;27,98;0
185906;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;132,36;0
185907;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;46,66;0
185908;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;56,33;0
185909;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;43,55;0
185910;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;15,98;0
185911;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;18,16;0
185912;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;10,94;0
185913;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;58,16;0
185914;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;807,67;0
185915;1;65;01/08/2025;5102;CLIENTES DIVERSOS;;62,89;0
185916;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;22,37;0
185917;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;14,98;0
185918;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;43,58;0
185919;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;19,3;0
185920;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;2,94;0
185921;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;13,99;0
185922;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;87,77;0
185923;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;62,05;0
185924;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;215,19;0
185925;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;120,64;0
185926;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;71,96;0
185927;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;55,7;0
185928;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;38,69;0
185929;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;127,01;0
185930;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;15,48;0
185931;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;112,5;0
185932;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;22,55;0
185933;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;69,82;0
185934;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;62,2;0
185935;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;25,98;0
185936;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;81,88;0
185937;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;113,75;0
185938;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;44,53;0
185939;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;57,73;0
185940;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;17,77;0
185941;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;24,08;0
185942;1;65;02/08/2025;5102;CLIENTES DIVERSOS;;20,97;0
185943;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;37,57;0
185944;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;161,9;0
185945;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;24,39;0
185946;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;47,03;0
185947;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;44,16;0
185948;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;21,61;0
185949;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;40,58;0
185950;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;19,12;0
185951;1;65;03/08/2025;5102;CLIENTES DIVERSOS;;50;0
185952;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;12,92;0
185953;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;23,8;0
185954;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;35,73;0
185955;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;46,87;0
185956;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;36;0
185957;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;21,75;0
185958;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;198,92;0
185959;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;35,28;0
185960;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;125;0
185961;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;65,59;0
185962;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;54,64;0
185963;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;61,96;0
185964;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;12,6;0
185965;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;19,4;0
185966;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;12,14;0
185967;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;272,38;0
185968;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;47,83;0
185969;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;205,12;0
185970;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;77,38;0
185971;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;45,45;0
185972;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;24,39;0
185973;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;188,69;0
185974;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;309,59;0
185975;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;60,69;0
185976;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;80,21;0
185977;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;126,07;0
185978;1;65;04/08/2025;5102;CLIENTES DIVERSOS;;36,34;0
185979;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;21,49;0
185980;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;148,73;0
185981;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;186,22;0
185982;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;6,99;0
185983;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;45;0
185984;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;437,79;0
185985;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;83,1;0
185986;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;36,84;0
185987;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;62,47;0
185988;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;19,99;0
185989;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;303,62;0
185990;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;32,71;0
185991;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;10,24;0
185992;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;23,46;0
185993;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;83,98;0
185994;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;26,54;0
185995;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;85,79;0
185996;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;36,13;0
185997;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;98,96;0
185998;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;53,52;0
185999;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;106,39;0
186000;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;63,1;0
186001;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;36,24;0
186002;1;65;05/08/2025;5102;CLIENTES DIVERSOS;;38,54;0
186003;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;10,3;0
186004;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;47,6;0
186005;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;75,66;0
186006;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;11,1;0
186007;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;46,22;0
186008;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;94,63;0
186009;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;25,87;0
186010;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;35,72;0
186011;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;12,99;0
186012;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;89,79;0
186013;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;31,2;0
186014;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;27,99;0
186015;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;83,97;0
186016;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;20,99;0
186017;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;5,99;0
186018;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;69,05;0
186019;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;134,04;0
186020;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;217,17;0
186021;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;50,81;0
186022;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;47,74;0
186023;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;16,33;0
186024;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;16,73;0
186025;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;28,11;0
186026;1;65;06/08/2025;5102;CLIENTES DIVERSOS;;27,15;0
186027;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;85,96;0
186028;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;22;0
186029;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;24,32;0
186030;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;62,54;0
186031;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;18,21;0
186032;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;57,63;0
186033;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;127,46;0
186034;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;194,96;0
186035;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;116,04;0
186036;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;139,26;0
186037;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;164,5;0
186038;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;32,83;0
186039;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;94,58;0
186040;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;95,95;0
186041;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;146,19;0
186042;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;15,99;0
186043;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;134,39;0
186044;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;114,12;0
186045;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;262,32;0
186046;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;161,21;0
186047;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;246,02;0
186048;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;80,71;0
186049;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;113,36;0
186050;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;39,68;0
186051;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;18,02;0
186052;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;9,69;0
186053;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;57,15;0
186054;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;116,88;0
186055;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;141,99;0
186056;1;65;07/08/2025;5102;CLIENTES DIVERSOS;;12,55;0
186057;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;16,54;0
186058;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;116,69;0
186059;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;6,4;0
186060;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;21,25;0
186061;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;12,8;0
186062;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;11,9;0
186063;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;391,32;0
186064;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;9,5;0
186065;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;103,5;0
186066;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;108,03;0
186067;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;461,17;0
186068;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;26,43;0
186069;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;60,31;0
186070;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;17,95;0
186071;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;3,92;0
186072;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;33,11;0
186073;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;57,38;0
186074;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;14,24;0
186075;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;18,98;0
186076;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;149,54;0
186077;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;20,97;0
186078;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;182,24;0
186079;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;106,5;0
186080;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;384;0
186081;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;51,82;0
186082;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;70,47;0
186083;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;82,57;0
186084;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;11,94;0
186085;1;65;08/08/2025;5102;CLIENTES DIVERSOS;;60,18;0
186086;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;20,82;0
186087;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;32,04;0
186088;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;8,76;0
186089;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;14,86;0
186090;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;65,37;0
186091;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;167,81;0
186092;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;250,12;0
186093;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;31,96;0
186094;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;184,52;0
186095;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;13,29;0
186096;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;29,15;0
186097;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;148,47;0
186098;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;18,51;0
186099;1;65;09/08/2025;5102;CLIENTES DIVERSOS;;147,69;0
