NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
188266;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;28,49;0
188267;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;23,45;0
188268;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;22,52;0
188269;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;19,45;0
188270;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;61,4;0
188271;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;67,46;0
188272;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;59,98;0
188273;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;97,94;0
188274;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;37;0
188275;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;38,98;0
188276;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;55,74;0
188277;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;42,23;0
188278;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;71,37;0
188279;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;59,46;0
188280;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;14,97;0
188281;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;9,74;0
188282;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;27,9;0
188283;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;15,96;0
188284;1;65;01/12/2025;5102;CLIENTES DIVERSOS;;1.600,00;0
188285;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;24;0
188286;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;100,07;0
188287;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;166,92;0
188288;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;129,02;0
188289;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;51,97;0
188290;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;7,59;0
188291;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;107,62;0
188292;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;83,33;0
188293;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;531,16;0
188294;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;51,71;0
188295;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;203,94;0
188296;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;149,89;0
188297;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;61;0
188298;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;27,28;0
188299;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;36,66;0
188300;1;65;02/12/2025;5102;CLIENTES DIVERSOS;;52,09;0
188301;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;10,89;0
188302;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;1,99;0
188303;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;15,76;0
188304;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;19,64;0
188305;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;12,97;0
188306;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;135,15;0
188307;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;431,8;0
188308;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;17,69;0
188309;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;11,43;0
188310;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;12,83;0
188311;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;18,15;0
188312;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;86,62;0
188313;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;48,34;0
188314;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;26,9;0
188315;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;4,92;0
188316;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;120,3;0
188317;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;6,99;0
188318;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;39,18;0
188319;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;144,04;0
188320;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;29,94;0
188321;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;45,5;0
188322;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;21,96;0
188323;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;16,77;0
188324;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;11,97;0
188325;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;86,28;0
188326;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;84,91;0
188327;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;33,39;0
188328;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;11,23;0
188329;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;39,66;0
188330;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;76,28;0
188331;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;98,16;0
188332;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;148,11;0
188333;1;65;03/12/2025;5102;CLIENTES DIVERSOS;;76,46;0
188334;1;65;04/12/2025;5102;CLIENTES DIVERSOS;;19,35;0
