NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
181240;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;15,74;0
181241;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;68,28;0
181242;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;12,34;0
181243;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;19,88;0
181244;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;45,18;0
181245;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;91,48;0
181246;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;168,72;0
181247;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;176,12;0
181248;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;149,39;0
181249;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;61,86;0
181250;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;29,33;0
181251;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;27,85;0
181252;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;87,34;0
181253;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;61,64;0
181254;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;9,95;0
181255;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;33,44;0
181256;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;28,24;0
181257;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;22,41;0
181258;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;19,95;0
181259;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;363,58;0
181260;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;193,61;0
181261;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;36,9;0
181262;1;65;01/02/2025;5102;CLIENTES DIVERSOS;;71,15;0
181263;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;34,28;0
181264;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;72,16;0
181265;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;24,45;0
181266;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;116,81;0
181267;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;77,85;0
181268;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;79,04;0
181269;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;147,58;0
181270;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;109,73;0
181271;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;19,46;0
181272;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;15,49;0
181273;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;37,5;0
181274;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;9,24;0
181275;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;38,02;0
181276;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;105,76;0
181277;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;48,87;0
181278;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;23,28;0
181279;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;64,75;0
181280;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;88,39;0
181281;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;119,21;0
181282;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;59,24;0
181283;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;53,21;0
181284;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;405,36;0
181285;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;39,79;0
181286;1;65;02/02/2025;5102;CLIENTES DIVERSOS;;95,92;0
181287;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;25;0
181288;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;55,79;0
181289;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;94,12;0
181290;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;462,34;0
181291;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;111,06;0
181292;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;31,65;0
181293;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;13,75;0
181294;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;65,12;0
181295;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;111,75;0
181296;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;18,8;0
181297;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;32,47;0
181298;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;14,99;0
181299;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;75,61;0
181300;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;29,97;0
181301;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;371,93;0
181302;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;24,32;0
181303;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;60,48;0
181304;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;141,63;0
181305;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;266,2;0
181306;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;88,73;0
181307;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;90,99;0
181308;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;199,73;0
181309;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;13,87;0
181310;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;84,16;0
181311;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;94,01;0
181312;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;147,98;0
181313;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;95,14;0
181314;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;63,53;0
181315;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;30,28;0
181316;1;65;03/02/2025;5102;CLIENTES DIVERSOS;;85,46;0
