NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
180537;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;141,98;0
180538;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;17,98;0
180539;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;436,04;0
180540;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;393,18;0
180541;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;20,38;0
180542;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;73,67;0
180543;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;44,86;0
180544;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;23,53;0
180545;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;151,94;0
180546;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;121,98;0
180547;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;38,45;0
180548;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;453,96;0
180549;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;256,53;0
180550;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;29,98;0
180551;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;43,64;0
180552;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;32,22;0
180553;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;146,91;0
180554;1;65;01/01/2025;5102;CLIENTES DIVERSOS;;65,01;0
180555;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;12,75;0
180556;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;48,41;0
180557;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;138,82;0
180558;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;153,76;0
180559;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;14,95;0
180560;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;99,14;0
180561;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;48,5;0
180562;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;29,29;0
180563;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;92,06;0
180564;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;34,3;0
180565;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;105,35;0
180566;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;232,53;0
180567;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;16,25;0
180568;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;10,99;0
180569;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;20,88;0
180570;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;122,56;0
180571;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;47,59;0
180572;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;45,54;0
180573;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;53,41;0
180574;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;51,99;0
180575;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;122,5;0
180576;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;56,27;0
180577;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;184,7;0
180578;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;44,39;0
180579;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;70,33;0
180580;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;72,15;0
180581;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;201,95;0
180582;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;123,46;0
180583;1;65;02/01/2025;5102;CLIENTES DIVERSOS;;30,75;0
180584;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;10,75;0
180585;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;50,97;0
180586;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;34,62;0
180587;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;150,15;0
180588;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;23,23;0
180589;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;47,95;0
180590;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;204,38;0
180591;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;32,09;0
180592;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;107,16;0
180593;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;49,96;0
180594;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;64,88;0
180595;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;11,18;0
180596;1;65;03/01/2025;5102;CLIENTES DIVERSOS;;357,11;0
180597;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;10,46;0
180598;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;18;0
180599;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;114,06;0
180600;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;59,44;0
180601;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;66,55;0
180602;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;2,49;0
180603;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;16,25;0
180604;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;21,72;0
180605;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;46,23;0
180606;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;104,76;0
180607;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;47,42;0
180608;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;155,28;0
180609;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;41,82;0
180610;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;96,61;0
180611;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;70,83;0
180612;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;57,26;0
180613;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;6,67;0
180614;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;82,07;0
180615;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;9,49;0
180616;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;28,47;0
180617;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;74,18;0
180618;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;207,68;0
180619;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;82,8;0
180620;1;65;04/01/2025;5102;CLIENTES DIVERSOS;;23,99;0
180621;1;65;05/01/2025;5102;CLIENTES DIVERSOS;;25,96;0
180622;1;65;05/01/2025;5102;CLIENTES DIVERSOS;;88,01;0
180623;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;13,86;0
180624;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;38,73;0
180625;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;13,99;0
180626;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;69,99;0
180627;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;54,01;0
180628;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;136;0
180629;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;52,67;0
180630;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;344,86;0
180631;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;13,15;0
180632;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;34,45;0
180633;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;28,99;0
180634;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;67,76;0
180635;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;32,32;0
180636;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;46,42;0
180637;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;54,42;0
180638;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;68,35;0
180639;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;54,58;0
180640;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;141,18;0
180641;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;89,77;0
180642;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;49,47;0
180643;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;31,22;0
180644;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;35,17;0
180645;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;56,24;0
180646;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;50,67;0
180647;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;33,89;0
180648;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;269,78;0
180649;1;65;06/01/2025;5102;CLIENTES DIVERSOS;;31,5;0
180650;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;11;0
180651;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;131,64;0
180652;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;11,99;0
180653;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;71,44;0
180654;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;230,67;0
180655;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;87,31;0
180656;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;107,07;0
180657;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;136,68;0
180658;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;211,47;0
180659;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;75,89;0
180660;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;35,93;0
180661;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;118,34;0
180662;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;3,99;0
180663;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;76,58;0
180664;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;29,98;0
180665;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;7,99;0
180666;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;117,36;0
180667;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;59,79;0
180668;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;60,66;0
180669;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;42,11;0
180670;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;101,06;0
180671;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;176,02;0
180672;1;65;07/01/2025;5102;CLIENTES DIVERSOS;;51,89;0
180673;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;49,49;0
180674;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;237,62;0
180675;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;160,22;0
180676;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;45,48;0
180677;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;21,39;0
180678;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;36,88;0
180679;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;26,48;0
180680;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;89,92;0
180681;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;32,49;0
180682;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;16,35;0
180683;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;63,85;0
180684;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;116,97;0
180685;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;19,99;0
180686;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;21,63;0
180687;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;61,26;0
180688;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;27,69;0
180689;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;53,07;0
180690;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;34,24;0
180691;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;36,73;0
180692;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;44,42;0
180693;1;65;08/01/2025;5102;CLIENTES DIVERSOS;;50,04;0
180694;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;18,61;0
180695;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;34,04;0
180696;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;24,22;0
180697;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;183,7;0
180698;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;112,26;0
180699;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;40,84;0
180700;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;182,24;0
180701;1;65;09/01/2025;5102;PISCINA AZUL COMERCIO DE PISCINAS EIRELE;;109,53;0
180702;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;8,7;0
180703;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;262,36;0
180704;1;65;09/01/2025;5102;CLIENTES DIVERSOS;;516,55;0
