NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
185009;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;23,99;0
185010;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;28,45;0
185011;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;53,97;0
185012;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;71,89;0
185013;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;201,58;0
185014;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;66,79;0
185015;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;143,79;0
185016;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;97,21;0
185017;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;40,94;0
185018;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;154,27;0
185019;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;41,13;0
185020;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;74,31;0
185021;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;49,53;0
185022;1;65;01/07/2025;5102;CLIENTES DIVERSOS;;187,86;0
185023;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;10,77;0
185024;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;7,99;0
185025;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;12,82;0
185026;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;47,73;0
185027;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;231,18;0
185028;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;66,11;0
185029;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;44,91;0
185030;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;10,85;0
185031;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;38,45;0
185032;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;34,24;0
185033;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;30,04;0
185034;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;26,18;0
185035;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;181,4;0
185036;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;170,81;0
185037;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;391,89;0
185038;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;43,36;0
185039;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;15,49;0
185040;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;19,99;0
185041;1;65;02/07/2025;5102;CLIENTES DIVERSOS;;37,46;0
