NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
184255;1;65;01/06/2025;5102;CLIENTES DIVERSOS;;14,29;0
184256;1;65;01/06/2025;5102;CLIENTES DIVERSOS;;38,63;0
184257;1;65;01/06/2025;5102;CLIENTES DIVERSOS;;21,47;0
184258;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;25,53;0
184259;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;29,36;0
184260;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;31,1;0
184261;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;86,28;0
184262;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;18,45;0
184263;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;11,25;0
184264;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;53,37;0
184265;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;74,11;0
184266;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;32,9;0
184267;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;125,28;0
184268;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;45,86;0
184269;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;19,24;0
184270;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;30,1;0
184271;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;75,67;0
184272;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;319,6;0
184273;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;14,96;0
184274;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;49,8;0
184275;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;24,98;0
184276;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;41,8;0
184277;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;123,37;0
184278;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;95,98;0
184279;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;106,47;0
184280;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;26,18;0
184281;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;58,75;0
184282;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;73,88;0
184283;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;25,98;0
184284;1;65;02/06/2025;5102;CLIENTES DIVERSOS;;8,94;0
184285;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;13,5;0
184286;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;20,28;0
184287;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;96;0
184288;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;40,07;0
184289;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;56,11;0
184290;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;65,92;0
184291;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;243,21;0
184292;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;87,9;0
184293;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;59,91;0
184294;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;197,65;0
184295;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;16,7;0
184296;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;10,99;0
184297;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;160,34;0
184298;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;178,62;0
184299;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;53;0
184300;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;38,28;0
184301;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;32,24;0
184302;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;34,45;0
184303;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;84,5;0
184304;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;122,13;0
184305;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;36,37;0
184306;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;34,94;0
184307;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;23,39;0
184308;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;160,4;0
184309;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;20,01;0
184310;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;85,21;0
184311;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;45,08;0
184312;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;132,66;0
184313;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;27,62;0
184314;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;16,81;0
184315;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;28,85;0
184316;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;38,87;0
184317;1;65;03/06/2025;5102;CLIENTES DIVERSOS;;106,81;0
184318;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;34,44;0
184319;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;24;0
184320;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;74,5;0
184321;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;11,52;0
184322;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;145,21;0
184323;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;148,64;0
184324;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;14,48;0
184325;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;41,58;0
184326;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;28,1;0
184327;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;64,02;0
184328;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;305,11;0
184329;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;23,98;0
184330;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;40,56;0
184331;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;19,57;0
184332;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;334,69;0
184334;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;256,44;0
184335;1;65;04/06/2025;5102;CLIENTES DIVERSOS;;53,97;0
