NF Número;Série;Mod;Data;CFOP;;Cliente;;Total Nota;ICMS
183350;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;109,03;0
183351;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;73,43;0
183352;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;238,56;0
183353;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;21,89;0
183354;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;10,45;0
183355;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;112,85;0
183356;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;164,59;0
183357;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;25,59;0
183358;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;38,52;0
183359;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;56,99;0
183360;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;72,54;0
183361;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;14,94;0
183362;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;139,13;0
183363;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;287,3;0
183364;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;94,79;0
183365;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;104,01;0
183366;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;13,8;0
183367;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;30,45;0
183368;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;28,42;0
183369;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;82,85;0
183370;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;5,74;0
183371;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;74,87;0
183372;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;28,98;0
183373;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;43,73;0
183374;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;440,67;0
183375;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;53,68;0
183376;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;74,87;0
183377;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;5,4;0
183378;1;65;01/05/2025;5102;;CLIENTES DIVERSOS;;55,43;0
183379;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;9,29;0
183380;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;22,99;0
183381;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;41,74;0
183382;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;66,3;0
183383;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;130,23;0
183384;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;55,89;0
183385;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;139,42;0
183386;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;117,72;0
183387;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;200,1;0
183388;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;16,55;0
183389;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;224,89;0
183390;1;65;02/05/2025;5102;;CLIENTES DIVERSOS;;56,75;0
