NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
181854;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;16,99;0
181855;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;51,47;0
181856;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;282,03;0
181857;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;38,61;0
181858;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;126,61;0
181859;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;53,61;0
181860;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;52,42;0
181861;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;39,64;0
181862;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;26,49;0
181863;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;233,3;0
181864;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;27,69;0
181865;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;127,78;0
181866;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;86,63;0
181867;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;54,36;0
181868;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;91,32;0
181869;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;161,42;0
181870;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;130,46;0
181871;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;204,24;0
181872;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;128,92;0
181873;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;82,86;0
181874;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;266,9;0
181875;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;94,17;0
181876;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;47,16;0
181877;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;43,7;0
181878;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;124,26;0
181879;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;33,41;0
181880;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;92,77;0
181881;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;66,98;0
181882;1;65;01/03/2025;5102;CLIENTES DIVERSOS;;16,46;0
181883;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;95,16;0
181884;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;84,42;0
181885;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;6,99;0
181886;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;54,35;0
181887;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;74,16;0
181888;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;9,5;0
181889;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;98,95;0
181890;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;235,92;0
181891;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;55,2;0
181892;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;62,49;0
181893;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;118,62;0
181894;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;32,05;0
181895;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;130,5;0
181896;1;65;02/03/2025;5102;CLIENTES DIVERSOS;;45,26;0
181897;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;23,74;0
181898;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;95,52;0
181899;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;86,54;0
181900;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;23,97;0
181901;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;31,19;0
181902;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;7,99;0
181903;1;65;03/03/2025;5102;CLIENTES DIVERSOS;;43,68;0
