NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
187743;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;17,67;0
187744;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;14,3;0
187745;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;15,99;0
187746;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;134,41;0
187747;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;185,48;0
187748;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;106,26;0
187749;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;22,34;0
187750;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;16,74;0
187751;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;21,48;0
187752;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;30,79;0
187753;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;42,6;0
187754;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;17,99;0
187755;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;51,92;0
187756;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;19,04;0
187757;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;100,43;0
187758;1;65;01/11/2025;5102;CLIENTES DIVERSOS;;60,09;0
187759;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;76,93;0
187760;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;230,11;0
187761;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;40;0
187762;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;65,92;0
187763;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;18,89;0
187764;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;43,8;0
187765;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;44,84;0
187766;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;81,22;0
187767;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;15,49;0
187768;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;111,38;0
187769;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;51,27;0
187770;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;8,4;0
187771;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;105,27;0
187772;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;258,83;0
187773;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;57,76;0
187774;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;101,89;0
187775;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;167,97;0
187776;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;48,8;0
187777;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;54,69;0
187778;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;41,96;0
187779;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;304,17;0
187780;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;117,5;0
187781;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;22,73;0
187782;1;65;02/11/2025;5102;CLIENTES DIVERSOS;;47,35;0
187783;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;33,99;0
187784;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;10,61;0
187785;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;11,02;0
187786;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;177,84;0
187787;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;9,59;0
187788;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;29,14;0
187789;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;73,56;0
187790;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;48,37;0
187791;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;20,31;0
187792;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;104,54;0
187793;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;62,01;0
187794;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;6,99;0
187795;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;116,64;0
187796;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;45,29;0
187797;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;64,18;0
187798;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;76,5;0
187799;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;13,7;0
187800;1;65;03/11/2025;5102;CLIENTES DIVERSOS;;90,32;0
187801;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;39,99;0
187802;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;22,69;0
187803;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;43,46;0
187804;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;68,87;0
187805;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;40,26;0
187806;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;107,15;0
187807;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;30,51;0
187808;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;113,73;0
187809;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;66,21;0
187810;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;24,77;0
187811;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;21,43;0
187812;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;67,47;0
187813;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;47,23;0
187814;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;94,39;0
187815;1;65;04/11/2025;5102;CLIENTES DIVERSOS;;42,12;0
187816;1;65;05/11/2025;5102;CLIENTES DIVERSOS;;17,49;0
187817;1;65;05/11/2025;5102;CLIENTES DIVERSOS;;15,8;0
