NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
187151;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;21,95;0
187152;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;36,84;0
187153;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;10,86;0
187154;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;13,55;0
187155;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;21,73;0
187156;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;16,5;0
187157;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;29,41;0
187158;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;41,41;0
187159;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;60,93;0
187160;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;13,56;0
187161;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;61,29;0
187162;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;23,37;0
187163;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;69,98;0
187164;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;31,69;0
187165;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;50,15;0
187166;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;46,98;0
187167;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;9,5;0
187168;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;109,44;0
187169;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;134,37;0
187170;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;96,68;0
187171;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;108,83;0
187172;1;65;01/10/2025;5102;CLIENTES DIVERSOS;;1.300,00;0
187173;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;24;0
187174;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;39,5;0
187175;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;49,99;0
187176;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;37,92;0
187177;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;122,97;0
187178;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;143,66;0
187179;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;275,59;0
187180;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;148,73;0
187181;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;118,65;0
187182;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;21,94;0
187183;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;179,11;0
187184;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;21,71;0
187185;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;124,97;0
187186;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;143,79;0
187187;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;99,65;0
187188;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;106,38;0
187189;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;107,17;0
187190;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;157,74;0
187191;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;70,61;0
187192;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;176,2;0
187193;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;167,48;0
187194;1;65;02/10/2025;5102;CLIENTES DIVERSOS;;700;0
187195;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;14,26;0
187196;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;11,98;0
187197;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;97,33;0
187198;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;43,64;0
187199;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;32,28;0
187200;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;39,99;0
187201;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;155,68;0
187202;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;31,13;0
187203;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;88,6;0
187204;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;77,64;0
187205;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;58,49;0
187206;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;32,82;0
187207;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;21,91;0
187208;1;65;03/10/2025;5102;CLIENTES DIVERSOS;;58,8;0
187209;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;39,99;0
187210;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;22,9;0
187211;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;8,13;0
187212;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;44,66;0
187213;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;13,72;0
187214;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;27,63;0
187215;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;48,92;0
187216;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;195,85;0
187217;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;55,73;0
187218;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;110,75;0
187219;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;66,49;0
187220;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;50,05;0
187221;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;10,38;0
187222;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;44,58;0
187223;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;51,57;0
187224;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;79,01;0
187225;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;72,36;0
187226;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;158,99;0
187227;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;105,9;0
187228;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;19,38;0
187229;1;65;04/10/2025;5102;CLIENTES DIVERSOS;;700;0
187230;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;18,64;0
187231;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;173,67;0
187232;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;65,16;0
187233;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;79,5;0
187234;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;99,97;0
187235;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;103,47;0
187236;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;134,3;0
187237;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;87,18;0
187238;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;8,99;0
187239;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;59,64;0
187240;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;21,19;0
187241;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;372,87;0
187242;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;150,36;0
187243;1;65;05/10/2025;5102;CLIENTES DIVERSOS;;178,04;0
187244;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;10,65;0
187245;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;14,38;0
187246;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;135,96;0
187247;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;9,45;0
187248;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;17,99;0
187249;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;19,42;0
187250;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;39,15;0
187251;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;65,57;0
187252;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;63,26;0
187253;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;79,62;0
187254;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;37,38;0
187255;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;24,25;0
187256;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;8,25;0
187257;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;290,17;0
187258;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;18,75;0
187259;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;97,4;0
187260;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;195,69;0
187261;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;42,61;0
187262;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;82,52;0
187263;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;76,46;0
187264;1;65;06/10/2025;5102;CLIENTES DIVERSOS;;137,47;0
187265;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;13;0
187266;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;11,59;0
187267;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;15,86;0
187268;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;81,52;0
187269;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;5,99;0
187270;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;65,25;0
187271;1;65;07/10/2025;5102;CLIENTES DIVERSOS;;22,5;0
