NF Número;Série;Mod;Data;CFOP;Cliente;;Total Nota;ICMS
186596;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;14,65;0
186597;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;35,67;0
186598;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;33,05;0
186599;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;24,31;0
186600;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;45;0
186601;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;117,31;0
186602;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;26,92;0
186603;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;29,37;0
186604;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;47,62;0
186605;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;25,08;0
186606;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;51,59;0
186607;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;24,16;0
186608;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;20,68;0
186609;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;100;0
186610;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;73,96;0
186611;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;34,62;0
186612;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;51,75;0
186613;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;124,34;0
186614;1;65;01/09/2025;5102;CLIENTES DIVERSOS;;144,26;0
186615;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;14,5;0
186616;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;6,99;0
186617;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;88,96;0
186618;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;12,63;0
186619;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;66,17;0
186620;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;23,49;0
186621;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;77,64;0
186622;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;150,19;0
186623;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;49,88;0
186624;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;51,86;0
186625;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;54,69;0
186626;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;265,73;0
186627;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;131,88;0
186628;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;23,69;0
186629;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;688,72;0
186630;1;65;02/09/2025;5102;CLIENTES DIVERSOS;;67;0
